ACCOUNT_ID,SECURITY_NAME,CUSIP,TICKER,SHARES,MARKET_VALUE
3040035734,GOLDMAN SACHS FIN SQ TREAS OBLIGATIONS FD #469 - ADMIN SHS,FGAXX,38141W315,233528.27,233528.27
3040035734,CASH,,CASH,,127040.97
3040035734,ABBOTT LABORATORIES COM,ABT,2824100,6200,283092
3040035734,ALLIANCE DATA SYSTEMS CORP,ADS,18581108,600,144678
3040035734,AMETEK INC,AME,31100100,3420,208688.4
3040035734,ANALOG DEVICES INC,ADI,32654105,800,68608
3040035734,BALL CORP,BLL,58498106,4900,200410
3040035734,BANK OF AMERICA CORP,BAC,60505104,4100,91881
3040035734,BECTON DICKINSON AND CO,BDX,75887109,960,181660.8
3040035734,BERKSHIRE HATHAWAY INC-CL B,BRK/B,84670702,1140,188419.2
3040035734,BRINKER INTL INC,EAT,109641100,2260,88659.8
3040035734,BROOKFIELD ASSET MANAGE-CL A,BAM,112585104,5500,208285
3040035734,CBRE GROUP INC,CBG,12504L109,5010,174748.8
3040035734,CARDINAL HEALTH INC,CAH,14149Y108,2460,182753.4
3040035734,CARNIVAL CORP,CCL,143658300,3120,199898.4
3040035734,CHEVRON CORP CORPORATION,CVX,166764100,860,88992.8
3040035734,CROWN HOLDINGS INC,CCK,228368106,3890,224608.6
3040035734,DIAGEO PLC SPONS ADR,DEO,25243Q205,1620,197510.4
3040035734,EXXON MOBIL CORPORATION,XOM,30231G102,2650,213325
3040035734,FIDELITY NATL FINL INC FNF GRP,FNF,31620R303,7120,303383.2
3040035734,GILDAN ACTIVEWEAR INC,GIL,375916103,10100,292294
3040035734,HANESBRANDS INC,HBI,410345102,9400,194110
3040035734,INTERCONTINENTALEXCHANGE GROUP INC,ICE,45866F104,3400,204646
3040035734,JPMORGAN CHASE & CO,JPM,46625H100,2750,225912.5
3040035734,JOHNSON & JOHNSON,JNJ,478160104,1120,143640
3040035734,LABORATORY CORP AMERICA HOLDINGS,LH,50540R409,2130,296070
3040035734,OMNICOM GROUP,OMC,681919106,2950,246974
3040035734,PNC FINANCIAL SERVICES GROUP,PNC,693475105,1000,118700
3040035734,PARKER HANNIFIN CORP,PH,701094104,700,110229
3040035734,PHILIP MORRIS INTERNATIONAL,PM,718172109,1440,172512
3040035734,PROGRESSIVE CORP OHIO,PGR,743315103,6000,254580
3040035734,ROCKWELL COLLINS,COL,774341101,2090,227914.5
3040035734,SCHLUMBERGER LTD COM,SLB,806857108,2100,146139
3040035734,STATE STREET CORP,STT,857477103,2870,233790.2
3040035734,SYNCHRONY FINANCIAL,SYF,87165B103,5600,150360
3040035734,3M CO,MMM,88579Y101,480,98145.6
3040035734,TWENTY-FIRST CENTURY FOX INC,FOXA,90130A101,8360,226723.2
3040035734,UNILEVER NV NY SHARES ADR,UN,904784709,3560,202136.8
3040035734,UNITED PARCEL SERVICE CL B,UPS,911312106,1600,169552
3040035734,UNITEDHEALTH GROUP INC,UNH,91324P102,1040,182187.2
3040035734,WELLS FARGO & CO & CO,WFC,949746101,4700,240358
3040035734,WESTERN UNION CO,WU,959802109,5000,95100
3040035734,WHIRLPOOL CORPORATION,WHR,963320106,1250,231925
3040035734,WORLD FUEL SVCS CORP,INT,981475106,4450,157263
3040035734,ALLERGAN PLC,AGN,G0177J108,1000,223750
3040035734,AXALTA COATING SYSTEMS LTD,AXTA,G0750C108,8000,250400
3040035734,ACCENTURE PLC CL A,ACN,G1151C101,1000,124470
3040035734,EATON CORP PLC,ETN,G29183103,2600,201188
3040035734,RENAISSANCE RE HLDGS LTD,RNR,G7496G103,1300,185718
3040035734,CHUBB LTD,CB,H1467J104,1730,247718.7
3040035734,TE CONNECTIVITY LIMITED,TEL,H84989104,1330,104870.5
3040035734,AERCAP HOLDINGS NV,AER,N00985106,6320,278206.4
