account_number,acct_name,cusip,asset_name,shares,market_value
7024976,ZIEGLER - FIXED,3128MAFB0,FEDERAL HOME LOAN MORTGAGE CORP,1085781,1161970
7024976,ZIEGLER - FIXED,3128MJZF0,FEDERAL HOME LOAN MORTGAGE CORP,1472322,1422911
7024976,ZIEGLER - FIXED,312941NS2,FEDERAL HOME LOAN MORTGAGE CORP,1257691,1344295
7024976,ZIEGLER - FIXED,3132XCR31,FEDERAL HOME LOAN MORTGAGE CORP,1658807,1656286
7024976,ZIEGLER - FIXED,3137F5BX6,FEDERAL HOME LOAN MORTGAGE CORP,998842,997364
7024976,ZIEGLER - FIXED,3137FAFF0,FEDERAL HOME LOAN MORTGAGE CORP,1483234,1484346
7024976,ZIEGLER - FIXED,3136AHUV0,FEDERAL NATIONAL MORTGAGE ASSN,864092,862199
7024976,ZIEGLER - FIXED,3136AY5X7,FEDERAL NATIONAL MORTGAGE ASSN,1896915,1896820
7024976,ZIEGLER - FIXED,31368HL35,FEDL NATL MTGE ASSN POOL #190346,124076,135405
7024976,ZIEGLER - FIXED,31371LZL6,FEDL NATL MTGE ASSN POOL #255547,23884,24082
7024976,ZIEGLER - FIXED,31410GPA5,FEDL NATL MTGE ASSN POOL #888817,144167,157126
7024976,ZIEGLER - FIXED,31416BK72,FEDL NATL MTGE ASSN POOL #995018,1453082,1580067
7024976,ZIEGLER - FIXED,31418XGB8,FEDL NATL MTGE ASSN POOL #AD9193,388688,417167
7024976,ZIEGLER - FIXED,3138AW3V3,FEDL NATL MTGE ASSN POOL #AJ5311,601082,632026
7024976,ZIEGLER - FIXED,3138EMUX7,FEDL NATL MTGE ASSN POOL #AL5097,262257,276303
7024976,ZIEGLER - FIXED,3138ETJ23,FEDL NATL MTGE ASSN POOL #AL8380,404655,423144
7024976,ZIEGLER - FIXED,3138ER7F1,FEDL NATL MTGE ASSN POOL #AL9893,1729034,1862637
7024976,ZIEGLER - FIXED,31418CMG6,FEDL NATL MTGE ASSN POOL #MA3058,2712727,2769965
7024976,ZIEGLER - FIXED,912810QS0,UNITED STATES TREASURY BONDS,5660000,6351595
7024976,ZIEGLER - FIXED,912810RV2,UNITED STATES TREASURY BONDS,1665000,1650498
7024976,ZIEGLER - FIXED,9128282R0,UNITED STATES TREASURY NOTES,4370000,4139745
7024976,ZIEGLER - FIXED,9128282W9,UNITED STATES TREASURY NOTES,2155000,2081342
7024976,ZIEGLER - FIXED,912828MP2,UNITED STATES TREASURY NOTES,3500000,3567690
7024976,ZIEGLER - FIXED,912828P46,UNITED STATES TREASURY NOTES,8005000,7316170
7024976,ZIEGLER - FIXED,912828RH5,UNITED STATES TREASURY NOTES,3570000,3562217
7024976,ZIEGLER - FIXED,912828VS6,UNITED STATES TREASURY NOTES,1015000,1002272
7024976,ZIEGLER - FIXED,912828XT2,UNITED STATES TREASURY NOTES,1045000,998383
7910982,Foundry Partners,68243Q106,1 800 FLOWERS COM INC,26025,330518
7910982,Foundry Partners,003830106,ABRAXAS PETROLEUM CORP,105050,275231
7910982,Foundry Partners,Y0017S102,AEGEAN MARINE PETROLEUM,64075,195429
7910982,Foundry Partners,00770F104,AEGION CORP,9225,240680
7910982,Foundry Partners,M0854Q105,ALLOT COMMUNICATIONS LTD,9025,48645
7910982,Foundry Partners,G6331P104,ALPHA & OMEGA SEMICONDUCTOR,16025,251913
7910982,Foundry Partners,00163U106,AMAG PHARMACEUTICALS INC,10625,261375
7910982,Foundry Partners,03475V101,ANGIODYNAMICS INC,17575,370657
7910982,Foundry Partners,00246W103,AXT INC,20500,152725
7910982,Foundry Partners,06424J103,BANK OF COMMERCE HOLDINGS,8625,103500
7910982,Foundry Partners,066849100,BAR HBR BANKSHARES,4800,147840
7910982,Foundry Partners,068463108,BARRETT BUSINESS SVCS INC,1130,100401
7910982,Foundry Partners,06985P209,BASIC ENERGY SERVICES INC,10875,136155
7910982,Foundry Partners,077347300,BEL FUSE INC CL B,7375,143075
7910982,Foundry Partners,091826107,BLACK BOX CORPORATION,28825,70621
7910982,Foundry Partners,125141101,CECO ENVIRONMENTAL CORP,43033,251313
7910982,Foundry Partners,156492100,CENTURY CASINOS INC,20900,176605
7910982,Foundry Partners,199333105,COLUMBUS MCKINNON CORP NY,8425,358400
7910982,Foundry Partners,20369C106,COMMUNITY HEALTHCARE TRUST INC,10050,276878
7910982,Foundry Partners,205826209,COMTECH TELECOMMUNICATIONS CORP,6940,222913
7910982,Foundry Partners,20676Y403,CONDOR HOSPITALITY TRUST INC,9000,92430
7910982,Foundry Partners,22284P105,COVENANT TRANSN GROUP INC CL A,11700,367497
7910982,Foundry Partners,223622606,COWEN INC CL A,20450,309818
7910982,Foundry Partners,12618T105,CRA INTERNATIONAL INC,5335,291024
7910982,Foundry Partners,227483104,CROSS COUNTRY HEALTHCARE INC,19202,234072
7910982,Foundry Partners,245077102,DEL FRISCO'S RESTAURANT GROUP,9890,131043
7910982,Foundry Partners,253922108,DIME CMNTY BANCORP INC,16350,332723
7910982,Foundry Partners,264147109,DUCOMMUN INC,11850,410129
7910982,Foundry Partners,285229100,ELECTRO SCIENTIFIC INDS INC,9850,198478
7910982,Foundry Partners,288853104,ELLIS PERRY INTL INC,6000,163080
7910982,Foundry Partners,29667D104,ESSA BANCORP INC,9475,150747
7910982,Foundry Partners,297602104,ETHAN ALLEN INTERIORS INC,10050,238688
7910982,Foundry Partners,316394105,FIDELITY SOUTHERN CORP,11700,288990
7910982,Foundry Partners,317585404,FINANCIAL INSTITUTIONS INC,9175,297270
7910982,Foundry Partners,31866P102,FIRST BANCORP INC,5175,150955
7910982,Foundry Partners,320218100,FIRST FINANCIAL CORP INDIANA,6800,300560
7910982,Foundry Partners,320557101,FIRST INTERNET BANCORP,8980,315198
7910982,Foundry Partners,35352P104,FRANKLIN FINANCIAL NETWORK INC,9350,337068
7910982,Foundry Partners,377316104,GLATFELTER,14875,263436
7910982,Foundry Partners,384556106,GRAHAM CORP,13404,355206
7910982,Foundry Partners,390607109,GREAT LAKES DREDGE & DOCK CORP,32800,170560
7910982,Foundry Partners,39260X100,GREEN BANCORP INC,8125,184438
7910982,Foundry Partners,395259104,GREENHILL & CO,16325,431796
7910982,Foundry Partners,410495204,HANMI FINANCIAL CORP,9125,275119
7910982,Foundry Partners,416196202,HARTE-HANKS INC,2685,28756
7910982,Foundry Partners,416906105,HARVARD BIOSCIENCE INC,25875,119025
7910982,Foundry Partners,419596101,HAVERTY FURNITURE COMPANIES INC,5150,105318
7910982,Foundry Partners,420877201,HAYNES INTERNATIONAL INC,8225,354991
7910982,Foundry Partners,43741E201,HCI GROUP INC,9160,385361
7910982,Foundry Partners,42727J102,HERITAGE INSURANCE HOLDINGS IN,19425,329060
7910982,Foundry Partners,431466101,HILL INTL INC,30425,170380
7910982,Foundry Partners,43785V102,HOMESTREET INC,9950,267655
7910982,Foundry Partners,437872104,HOMETRUST BANCSHARES INC,9925,267975
7910982,Foundry Partners,439038100,HOOKER FURNITURE,3350,125458
7910982,Foundry Partners,440407104,HORIZON BANCORP INC/IN,12000,381120
7910982,Foundry Partners,G4740B105,ICHOR HOLDINGS LTD,12975,340594
7910982,Foundry Partners,448947507,IDT CORP CL B,27495,141324
7910982,Foundry Partners,45378A106,INDEPENDENCE REALTY TRUST INC,33050,321577
7910982,Foundry Partners,453838609,INDEPENDENT BANK CORP,14105,363909
7910982,Foundry Partners,49428J109,KIMBALL ELECTRONICS INC,10625,201875
7910982,Foundry Partners,496719105,KINGSTONE COS INC,17625,304913
7910982,Foundry Partners,497498105,KIRKLANDS INC,21350,269651
7910982,Foundry Partners,511637100,LAKELAND BANCORP INC,15075,311299
7910982,Foundry Partners,514766104,LANDEC CORP,20150,286130
7910982,Foundry Partners,576853105,MATRIX SERVICE CO,13238,257479
7910982,Foundry Partners,59100U108,META FINANCIAL GROUP,3515,402116
7910982,Foundry Partners,620071100,MOTORCAR PARTS,13650,301256
7910982,Foundry Partners,651718504,NEWPARK RESOURCES INC,18800,203980
7910982,Foundry Partners,663904209,NORTHEAST BANCORP,3795,83680
7910982,Foundry Partners,666762109,NORTHRIM BANCORP INC,2975,119000
7910982,Foundry Partners,667746101,NORTHWEST PIPE CO,13325,285422
7910982,Foundry Partners,68162K106,OLYMPIC STEEL INC,12600,295722
7910982,Foundry Partners,684000102,OPUS BANK,12150,359033
7910982,Foundry Partners,68628V308,ORION GROUP HOLDINGS INC,41510,328344
7910982,Foundry Partners,69423U305,PACIFIC ETHANOL INC,52525,170706
7910982,Foundry Partners,709789101,PEOPLES BANC INC,10500,399105
7910982,Foundry Partners,719405102,PHOTRONICS INC,23425,207311
7910982,Foundry Partners,73102V105,POLAR POWER INC,9380,58437
7910982,Foundry Partners,75134P303,RAMACO RESOURCES INC,17225,139006
7910982,Foundry Partners,74934Q108,RCI HOSPITALITY HOLDINGS INC,4975,159250
7910982,Foundry Partners,76680V108,RING ENERGY INC,7075,95937
7910982,Foundry Partners,74975N105,RTI SURGICAL INC,51075,232391
7910982,Foundry Partners,781270103,RUDOPLH TECHNOLOGIES INC,11500,384675
7910982,Foundry Partners,794093104,SALEM COMMUNICATIONS-CL A,15500,59675
7910982,Foundry Partners,824889109,SHOE CARNIVAL INC,7150,234234
7910982,Foundry Partners,78425V104,SI FINANCIAL GROUP INC,6300,96390
7910982,Foundry Partners,82620P102,SIERRA BANCORP,8325,237929
7910982,Foundry Partners,M84116108,SILICOM LTD,6400,267328
7910982,Foundry Partners,843395104,SOUTHERN NATIONAL BANCORP OF VA INC,9875,171628
7910982,Foundry Partners,84863T106,SPOK HOLDINGS INC,15285,235389
7910982,Foundry Partners,859241101,STERLING CONSTRUCTION CO INC,25725,332110
7910982,Foundry Partners,868873100,SURMODICS INC,4025,213325
7910982,Foundry Partners,88145X108,TERRITORIAL BANCORP INC,7275,222106
7910982,Foundry Partners,909839102,UNITED CMNTY FINL CORP OHIO,30775,325292
7910982,Foundry Partners,910710102,UNITED INSURANCE,14550,296238
7910982,Foundry Partners,913259107,UNITIL CORPORATION,7000,335860
7910982,Foundry Partners,913483103,UNIVERSAL ELECTRONICS INC,9875,298719
7910982,Foundry Partners,913837100,UNIVERSAL STAINLESS & ALLOY,12072,300955
7910982,Foundry Partners,940610108,WASHINGTON TRUST BANCORP,3955,244221
7910982,Foundry Partners,94188P101,"WATERSTONE FINANCIAL, INC.",9525,166688
7929085,NEWTON,993803MP7,CF NEWTON NCML EAFE PLUS FD,3012474,31389980
7946136,AFLCIO HIT,00105A0A0,AFL-CIO HOUSING INVT TRUST,30820,33454124
7951395,TCW,00724F101,ADOBE SYS INC,15838,3980248
7951395,TCW,009158106,AIR PRODUCTS & CHEMICALS INC,5420,886387
7951395,TCW,015351109,ALEXION PHARMACEUTICALS INC,8930,1062759
7951395,TCW,016255101,ALIGN TECHNOLOGY INC,2956,984614
7951395,TCW,02079K107,ALPHABET INC CL C,3720,4164540
7951395,TCW,023135106,AMAZON.COM INC,2775,4555274
7951395,TCW,03027X100,AMERICAN TOWER CORP,20310,2813341
7951395,TCW,09061G101,BIOMARIN PHARMACEUTICAL INC,13650,1254708
7951395,TCW,09857L108,BOOKING HOLDINGS INC,915,1947980
7951395,TCW,151020104,CELGENE CORP,18000,1422720
7951395,TCW,808513105,CHARLES SCHWAB CORP,34100,1934493
7951395,TCW,H1467J104,CHUBB LTD,13750,1798225
7951395,TCW,20605P101,CONCHO RESOURCES,6230,804978
7951395,TCW,22160K105,COSTCO WHOLESALE CORP,7740,1525786
7951395,TCW,29444U700,EQUINIX INC,4415,1762512
7951395,TCW,30303M102,FACEBOOK INC-A,21475,4165935
7951395,TCW,311900104,FASTENAL CO,6500,348595
7951395,TCW,437076102,HOME DEPOT INC,9872,1849519
7951395,TCW,452327109,ILLUMINA INC,4593,1269184
7951395,TCW,57636Q104,MASTERCARD INC CL A,9600,1875552
7951395,TCW,61174X109,MONSTER BEVERAGE CORP,28900,1488350
7951395,TCW,67066G104,NVIDIA CORP,4675,1204374
7951395,TCW,70450Y103,PAYPAL HOLDINGS INC,30293,2521892
7951395,TCW,78409V104,S&P GLOBAL INC,5950,1191904
7951395,TCW,79466L302,SALESFORCE COM INC,25521,3331001
7951395,TCW,81762P102,SERVICENOW INC,16121,2926123
7951395,TCW,848637104,SPLUNK INC,15571,1774315
7951395,TCW,855244109,STARBUCKS CORP,30550,1738601
7951395,TCW,89400J107,TRANSUNION,22550,1557078
7951395,TCW,90384S303,ULTA BEAUTY INC,5982,1466487
7951395,TCW,92826C839,VISA INC CL A,32050,4193743
7951395,TCW,94106B101,WASTE CONNECTIONS INC,20214,1574064
7951395,TCW,955306105,WEST PHARMACEUTICAL SVCS INC,11422,1062246
7951395,TCW,98978V103,ZOETIS INC,19700,1682774
7957222,Cambiar Investors,00089H106,ACS ACTIVIDADES DE CONS UNSPONSORED,105024,887453
7957222,Cambiar Investors,N00985106,AERCAP HOLDINGS NV,24763,1364689
7957222,Cambiar Investors,001317205,AIA GROUP LTD SPONSORED,29145,1066124
7957222,Cambiar Investors,009279100,AIRBUS SE UNSPONSORED,34090,987928
7957222,Cambiar Investors,02319V103,AMBEV SA SPONSORED,137309,723618
7957222,Cambiar Investors,03938L203,ARCELORMITTAL SA SPONSORED,25904,855868
7957222,Cambiar Investors,054536107,AXA SPONSORED,30881,790554
7957222,Cambiar Investors,05523R107,BAE SYSTEMS PLC SPONSORED,25035,884236
7957222,Cambiar Investors,056752108,BAIDU INC SPONSORED,5256,1305906
7957222,Cambiar Investors,05964H105,BANCO SANTANDER SA SPONSORED,131143,730467
7957222,Cambiar Investors,072730302,BAYER AG SPONSORED,31105,944970
7957222,Cambiar Investors,05545E209,BHP BILLITON PLC SPONSORED,21229,981417
7957222,Cambiar Investors,110448107,BRITISH AMERN TOB PLC SPONSORED,22426,1138568
7957222,Cambiar Investors,136385101,CANADIAN NATURAL RESOURCES,28797,992345
7957222,Cambiar Investors,142795202,CARLSBERG A/S SPONSORED,38540,856744
7957222,Cambiar Investors,144430204,CARREFOUR SA SPONSORED,176246,634486
7957222,Cambiar Investors,12562Y100,CK HUTCHISON HOLDING UNSPONSORED,57750,654885
7957222,Cambiar Investors,233825207,DAIMLER AG UNSPONSORED,45677,826297
7957222,Cambiar Investors,23304Y100,DBS GROUP HLDGS LTD SPONSORED,10568,896166
