account_number,acct_name,cusip,asset_name,shares,market_value
'350021000849,IRON WORKERS 451 ANNUITY,00287Y109,ABBVIE INC,1500,179625
'350021000849,IRON WORKERS 451 ANNUITY,'015351109,ALEXION PHARMACEUTICALS INC,500,60540
'350021000849,IRON WORKERS 451 ANNUITY,01609W102,ALIBABA GROUP HOLDING LTD ADR SEDOL BP41ZD1 ISIN US01609W1027,600,113046
'350021000849,IRON WORKERS 451 ANNUITY,G0176J109,ALLEGION PLC SEDOL BFRT3W7 ISIN IE00BFRT3W74,500,43045
'350021000849,IRON WORKERS 451 ANNUITY,'020002101,ALLSTATE CORP,1600,154256
'350021000849,IRON WORKERS 451 ANNUITY,02079K305,ALPHABET INC/CA-CL A,160,182386
'350021000849,IRON WORKERS 451 ANNUITY,02079K107,ALPHABET INC/CA-CL C,160,182107
'350021000849,IRON WORKERS 451 ANNUITY,02209S103,ALTRIA GROUP INC,1900,125647
'350021000849,IRON WORKERS 451 ANNUITY,'023135106,AMAZON COM INC,215,341459
'350021000849,IRON WORKERS 451 ANNUITY,03027X100,AMERICAN TOWER CORP,800,117000
'350021000849,IRON WORKERS 451 ANNUITY,'030420103,AMERICAN WATER WORKS CO INC,1100,88825
'350021000849,IRON WORKERS 451 ANNUITY,'036752103,ANTHEM INC,800,184176
'350021000849,IRON WORKERS 451 ANNUITY,'036752103,APPLE INC,3600,647892
'350021000849,IRON WORKERS 451 ANNUITY,'038222105,APPLIED MATERIALS INC,2800,167132
'350021000849,IRON WORKERS 451 ANNUITY,00206R102,AT&T INC,2000,74780
'350021000849,IRON WORKERS 451 ANNUITY,'060505104,BANK OF AMERICA CORP,7800,252408
'350021000849,IRON WORKERS 451 ANNUITY,'084670702,BERKSHIRE HATHAWAY INC CLASS B,850,177761
'350021000849,IRON WORKERS 451 ANNUITY,08579W103,BERRY GLOBAL GROUP INC,1800,101322
'350021000849,IRON WORKERS 451 ANNUITY,09247X101,BLACKROCK INC,320,180499
'350021000849,IRON WORKERS 451 ANNUITY,'097023105,BOEING CO,480,162562
'350021000849,IRON WORKERS 451 ANNUITY,'101137107,BOSTON SCIENTIFIC CORP,1700,48331
'350021000849,IRON WORKERS 451 ANNUITY,'122017106,BURLINGTON STORES INC,1400,177926
'350021000849,IRON WORKERS 451 ANNUITY,'149123101,CATERPILLAR INC,1180,181354
'350021000849,IRON WORKERS 451 ANNUITY,'166764100,CHEVRON CORPORATION,1500,174690
'350021000849,IRON WORKERS 451 ANNUITY,'171340102,CHURCH & DWIGHT INC,2000,101480
'350021000849,IRON WORKERS 451 ANNUITY,17275R102,CISCO SYSTEMS INC,3400,153544
'350021000849,IRON WORKERS 451 ANNUITY,'172967424,CITIGROUP INC,2600,194766
'350021000849,IRON WORKERS 451 ANNUITY,12572Q105,CME GROUP INC A DERIVATIVIES EXCHANGE,1200,197772
'350021000849,IRON WORKERS 451 ANNUITY,20030N101,COMCAST CORPORATION CL A,3300,120219
'350021000849,IRON WORKERS 451 ANNUITY,'200340107,COMERICA INC,2100,208740
'350021000849,IRON WORKERS 451 ANNUITY,'205887102,CONAGRA BRANDS INC,1400,53242
'350021000849,IRON WORKERS 451 ANNUITY,'209115104,CONSOLIDATED EDISON INC,1600,120784
'350021000849,IRON WORKERS 451 ANNUITY,21036P108,CONSTELLATION BRANDS INC CL A,850,193749
'350021000849,IRON WORKERS 451 ANNUITY,22160K105,COSTCO WHOLESALE CORP,600,112476
'350021000849,IRON WORKERS 451 ANNUITY,'126408103,CSX CORP,2100,120708
'350021000849,IRON WORKERS 451 ANNUITY,'235851102,DANAHER CORP,1600,164480
'350021000849,IRON WORKERS 451 ANNUITY,'244199105,DEERE & CO,1080,174226
'350021000849,IRON WORKERS 451 ANNUITY,25278X109,DIAMOND BACK ENERGY INC,1400,178010
'350021000849,IRON WORKERS 451 ANNUITY,'254687106,DISNEY WALT CO,1200,124476
'350021000849,IRON WORKERS 451 ANNUITY,26078J100,DOWDUPONT INC,2300,162311
'350021000849,IRON WORKERS 451 ANNUITY,'285512109,ELECTRONIC ART,1000,126570
'350021000849,IRON WORKERS 451 ANNUITY,26875P101,EOG RES INC,1800,180090
'350021000849,IRON WORKERS 451 ANNUITY,30231G102,EXXON MOBIL CORP,2100,156513
'350021000849,IRON WORKERS 451 ANNUITY,30303M102,FACEBOOK INC A,1000,181880
'350021000849,IRON WORKERS 451 ANNUITY,31620M106,FIDELITY NATIONAL INFORMATION,800,80328
'350021000849,IRON WORKERS 451 ANNUITY,34959J108,FORTIVE CORP,600,46794
'350021000849,IRON WORKERS 451 ANNUITY,38141G104,GOLDMAN SACHS GROUP INC,600,161118
'350021000849,IRON WORKERS 451 ANNUITY,'406216101,HALLIBURTON CO,3200,147520
'350021000849,IRON WORKERS 451 ANNUITY,'437076102,HOME DEPOT INC,1000,178350
'350021000849,IRON WORKERS 451 ANNUITY,'438516106,HONEYWELL INTL INC,700,106050
