account_number,acct_name,cusip,asset_name,shares,market_value
159023,ARISTOTLE LG VALUE,031162100,AMGEN INC USD 0.0001,15400,2855776
159023,ARISTOTLE LG VALUE,039483102,ARCHER-DANIELS MIDLAND CO NPV,32900,1450561
159023,ARISTOTLE LG VALUE,060505104,BK OF AMER COM USD0.01,106900,3142860
159023,ARISTOTLE LG VALUE,191216100,COCA COLA CO USD 0.25,57120,2484149
159023,ARISTOTLE LG VALUE,229899109,CULLEN / FROST BANKERS INC USD 0.01,2898,340022
159023,ARISTOTLE LG VALUE,229899109,CULLEN / FROST BANKERS INC USD 0.01,11702,1372996
159023,ARISTOTLE LG VALUE,235851102,DANAHER CORP USD 0.01,29100,2964417
159023,ARISTOTLE LG VALUE,369550108,GENERAL DYNAMICS CORP USD 1.0,12200,2471720
159023,ARISTOTLE LG VALUE,406216101,HALLIBURTON CO USD,44941,2154921
159023,ARISTOTLE LG VALUE,437076102,HOME DEPOT INC USD 0.05,17200,3291392
159023,ARISTOTLE LG VALUE,501044101,KROGER CO USD 1.0,65600,1623600
159023,ARISTOTLE LG VALUE,526057104,LENNAR CORP USD 0.1,44500,2317115
159023,ARISTOTLE LG VALUE,526057302,LENNAR CORP USD 0.1,776,32243
159023,ARISTOTLE LG VALUE,573284106,MARTIN MARIETTA MATLS INC USD 0.01,11000,2500740
159023,ARISTOTLE LG VALUE,594918104,MICROSOFT COM USD0.00000625,34900,3548283
159023,ARISTOTLE LG VALUE,595017104,MICROCHIP TECHNOLOGY INC USD 0.001,34000,3447940
159023,ARISTOTLE LG VALUE,606822104,MITSUBISHI UFJ FINL GROUP I NPV ADR,229300,1435418
159023,ARISTOTLE LG VALUE,609207105,MONDELEZ INTL INC NPV,40700,1619046
159023,ARISTOTLE LG VALUE,636180101,NATIONAL FUEL GAS CO USD 1.0,36700,1931521
159023,ARISTOTLE LG VALUE,688239201,OSHKOSH CORP USD 0.01,34200,2528064
159023,ARISTOTLE LG VALUE,693506107,PPG INDS INC USD 1.67,22800,2335404
159023,ARISTOTLE LG VALUE,718546104,PHILLIPS 66 USD 0.01,25600,3051520
159023,ARISTOTLE LG VALUE,723787107,PIONEER NAT RES CO USD 0.01,9000,1715850
159023,ARISTOTLE LG VALUE,835699307,SONY CORP NPV ADR,600,29448
159023,ARISTOTLE LG VALUE,835699307,SONY CORP NPV ADR,44700,2193876
159023,ARISTOTLE LG VALUE,904784709,"UNILEVER 0.00 NOV 6,20 EUR 0.16 ADR",39700,2229552
159023,ARISTOTLE LG VALUE,931427108,WALGREENS BOOTS ALLIANCE I USD 0.01,26300,1664790
159023,ARISTOTLE LG VALUE,00130H105,AES CORP USD 0.01,106300,1374459
159023,ARISTOTLE LG VALUE,00287Y109,ABBVIE INC USD 0.01,27600,2735160
159023,ARISTOTLE LG VALUE,00404A109,ACADIA HEALTHCARE CO INC USD 0.01,43500,1738260
159023,ARISTOTLE LG VALUE,00724F101,ADOBE SYST COM USD0.0001,19600,4965464
159023,ARISTOTLE LG VALUE,03076C106,AMERIPRISE COM STK USD0.01,18400,2581520
159023,ARISTOTLE LG VALUE,03662Q105,ANSYS INC COM USD0.01,14800,2487732
159023,ARISTOTLE LG VALUE,05561Q201,BOK FINL CORP USD 0.00006,100,10355
159023,ARISTOTLE LG VALUE,05561Q201,BOK FINL CORP USD 0.00006,14500,1501475
159023,ARISTOTLE LG VALUE,05946K101,BANCO BILBAO VIZCAYA A EUR 0.49 ADR,295166,2075017
159023,ARISTOTLE LG VALUE,14040H105,CAPITAL ON COM USD0.01,24000,2290560
159023,ARISTOTLE LG VALUE,26884L109,EQT CORP NPV,30000,1515900
159023,ARISTOTLE LG VALUE,27579R104,EAST WEST BANCORP INC USD 0.001,34000,2434740
159023,ARISTOTLE LG VALUE,46625H100,JPMORGAN CHASE + CO USD 1.0,17200,1865340
159023,ARISTOTLE LG VALUE,66987V109,NOVARTIS AG CHF 0.5 ADR,588,44547
159023,ARISTOTLE LG VALUE,66987V109,NOVARTIS AG CHF 0.5 ADR,25512,1932789
159023,ARISTOTLE LG VALUE,70450Y103,PAYPAL HLDGS INC USD 0.0001,31300,2647041
159023,ARISTOTLE LG VALUE,G51502105,JOHNSON CONTROLS INTERNATI USD 0.01,63000,2147040
159023,ARISTOTLE LG VALUE,G5960L103,MEDTRONIC PLC USD 0.1,30200,2643104
159023,ARISTOTLE LG VALUE,H1467J104,CHUBB LTD CHF 24.15,14100,1858098
406930,POLEN LC GROWTH,016255101,ALIGN TECHNOLOGY INC USD 0.0001,15028,5157610
406930,POLEN LC GROWTH,053015103,AUTOMATIC DATA PROCESSING I USD 0.1,40756,5471493
406930,POLEN LC GROWTH,256677105,DOLLAR GEN CORP NEW USD 0.875,39567,3600597
406930,POLEN LC GROWTH,366651107,GARTNER INC USD 0.0005,626,84773
406930,POLEN LC GROWTH,366651107,GARTNER INC USD 0.0005,30741,4162946
406930,POLEN LC GROWTH,594918104,MICROSOFT COM USD0.00000625,64014,6508303
406930,POLEN LC GROWTH,641069406,NESTLE S A CHF 1.0 ADR,15800,1201906
406930,POLEN LC GROWTH,641069406,NESTLE S A CHF 1.0 ADR,21572,1640982
406930,POLEN LC GROWTH,654106103,NIKE INC CLASS B COM NPV,74257,5482394
406930,POLEN LC GROWTH,855244109,STARBUCKS COM USD0.001,67977,3879447
406930,POLEN LC GROWTH,00724F101,ADOBE SYST COM USD0.0001,35974,9113653
406930,POLEN LC GROWTH,02079K107,ALPHABET INC CLASS C,5548,6320781
406930,POLEN LC GROWTH,02079K305,ALPHABET INC CLASS A,2042,2354508
406930,POLEN LC GROWTH,09857L108,BOOKING HLDGS INC USD 0.008,1158,2461676
406930,POLEN LC GROWTH,30303M102,FACEBOOK INC USD 0.000006,21826,4218529
406930,POLEN LC GROWTH,57636Q104,MASTERCARD INC,13108,2591845
406930,POLEN LC GROWTH,67103H107,O REILLY AUTOMOTIVE INC NE USD 0.01,15821,4393808
406930,POLEN LC GROWTH,68389X105,ORACLE CORP USD 0.01,93217,4411028
406930,POLEN LC GROWTH,75886F107,REGENERON PHARMACEUTICALS USD 0.001,8108,2530426
406930,POLEN LC GROWTH,92826C839,VISA INC USD 0.0001,2715,361285
406930,POLEN LC GROWTH,92826C839,VISA INC USD 0.0001,45052,5995070
406930,POLEN LC GROWTH,98978V103,ZOETIS INC USD 0.01,51699,4414578
406930,POLEN LC GROWTH,G1151C101,ACCENTURE PLC USD 0.000023,28806,4592541
919957,WESTFIELD CAPITAL,007973100,ADVANCED ENERGY INDS INC USD 0.001,21110,1406559
919957,WESTFIELD CAPITAL,090572207,BIO RAD LABS INC USD 0.0001,7260,2126309
919957,WESTFIELD CAPITAL,101388106,BOTTOMLINE TECHNOLOGIES D USD 0.001,29680,1461146
919957,WESTFIELD CAPITAL,109194100,BRIGHT HORIZONS FAMILY SO USD 0.001,14815,1529797
919957,WESTFIELD CAPITAL,133131102,CAMDEN PROPERTY TR USD 0.01,13540,1228078
919957,WESTFIELD CAPITAL,138098108,CANTEL MED CORP USD 0.1,14830,1586810
919957,WESTFIELD CAPITAL,148806102,CATALENT INC USD 0.01,25490,1001502
